datetime,powerConsumptionTotal_MW,fossilFree_%,renewable_%,isEstimated,estimationMethod
2024-01-01 00:00:00+00:00,21432,80,44,False,
2024-01-01 01:00:00+00:00,20347,79,42,False,
2024-01-01 02:00:00+00:00,19132,78,40,False,
2024-01-01 03:00:00+00:00,18315,78,39,False,
2024-01-01 04:00:00+00:00,17933,77,38,False,
2024-01-01 05:00:00+00:00,18005,77,38,False,
2024-01-01 06:00:00+00:00,18367,78,40,False,
2024-01-01 07:00:00+00:00,18465,78,41,False,
2024-01-01 08:00:00+00:00,18600,78,42,False,
2024-01-01 09:00:00+00:00,19559,83,49,False,
2024-01-01 10:00:00+00:00,20917,87,57,False,
2024-01-01 11:00:00+00:00,21196,89,61,False,
2024-01-01 12:00:00+00:00,21302,89,63,False,
2024-01-01 13:00:00+00:00,21574,89,65,False,
2024-01-01 14:00:00+00:00,20834,89,66,False,
2024-01-01 15:00:00+00:00,20727,88,63,False,
2024-01-01 16:00:00+00:00,21839,84,53,False,
2024-01-01 17:00:00+00:00,24217,85,52,False,
2024-01-01 18:00:00+00:00,25897,87,57,False,
2024-01-01 19:00:00+00:00,26912,88,58,False,
2024-01-01 20:00:00+00:00,27491,88,58,False,
2024-01-01 21:00:00+00:00,26243,88,57,False,
2024-01-01 22:00:00+00:00,24020,87,54,False,
2024-01-01 23:00:00+00:00,21781,85,51,False,
2024-01-02 00:00:00+00:00,20027,85,51,False,
2024-01-02 01:00:00+00:00,18929,84,51,False,
2024-01-02 02:00:00+00:00,18372,84,51,False,
2024-01-02 03:00:00+00:00,18277,85,50,False,
2024-01-02 04:00:00+00:00,18744,84,50,False,
2024-01-02 05:00:00+00:00,20891,84,51,False,
2024-01-02 06:00:00+00:00,24412,84,52,False,
2024-01-02 07:00:00+00:00,27349,86,56,False,
2024-01-02 08:00:00+00:00,29202,88,62,False,
2024-01-02 09:00:00+00:00,30232,91,67,False,
2024-01-02 10:00:00+00:00,30149,91,69,False,
2024-01-02 11:00:00+00:00,30102,91,68,False,
2024-01-02 12:00:00+00:00,30454,91,69,False,
2024-01-02 13:00:00+00:00,30776,91,70,False,
2024-01-02 14:00:00+00:00,30392,92,71,False,
2024-01-02 15:00:00+00:00,30132,91,68,False,
2024-01-02 16:00:00+00:00,30477,88,66,False,
2024-01-02 17:00:00+00:00,31894,87,65,False,
2024-01-02 18:00:00+00:00,32493,88,67,False,
2024-01-02 19:00:00+00:00,32905,89,65,False,
2024-01-02 20:00:00+00:00,32901,89,64,False,
2024-01-02 21:00:00+00:00,30361,89,64,False,
2024-01-02 22:00:00+00:00,27244,90,62,False,
2024-01-02 23:00:00+00:00,24922,89,61,False,
2024-01-03 00:00:00+00:00,23068,90,61,False,
2024-01-03 01:00:00+00:00,21662,89,60,False,
2024-01-03 02:00:00+00:00,20985,90,59,False,
2024-01-03 03:00:00+00:00,20713,89,59,False,
2024-01-03 04:00:00+00:00,21083,89,59,False,
2024-01-03 05:00:00+00:00,22893,89,59,False,
2024-01-03 06:00:00+00:00,25818,88,59,False,
2024-01-03 07:00:00+00:00,28482,89,61,False,
2024-01-03 08:00:00+00:00,30211,90,63,False,
2024-01-03 09:00:00+00:00,30998,91,65,False,
2024-01-03 10:00:00+00:00,30867,91,66,False,
2024-01-03 11:00:00+00:00,30249,91,66,False,
2024-01-03 12:00:00+00:00,30670,91,66,False,
2024-01-03 13:00:00+00:00,30780,90,65,False,
2024-01-03 14:00:00+00:00,30078,88,63,False,
2024-01-03 15:00:00+00:00,29743,85,58,False,
2024-01-03 16:00:00+00:00,29920,81,54,False,
2024-01-03 17:00:00+00:00,31142,80,53,False,
2024-01-03 18:00:00+00:00,31796,80,53,False,
2024-01-03 19:00:00+00:00,32228,81,54,False,
2024-01-03 20:00:00+00:00,32106,81,54,False,
2024-01-03 21:00:00+00:00,29881,81,54,False,
2024-01-03 22:00:00+00:00,27149,82,53,False,
2024-01-03 23:00:00+00:00,24782,83,51,False,
2024-01-04 00:00:00+00:00,22899,83,50,False,
2024-01-04 01:00:00+00:00,21510,84,49,False,
2024-01-04 02:00:00+00:00,20909,83,48,False,
2024-01-04 03:00:00+00:00,20604,84,47,False,
2024-01-04 04:00:00+00:00,20974,83,47,False,
2024-01-04 05:00:00+00:00,22783,83,47,False,
2024-01-04 06:00:00+00:00,25857,83,50,False,
2024-01-04 07:00:00+00:00,28514,84,54,False,
2024-01-04 08:00:00+00:00,30207,83,55,False,
2024-01-04 09:00:00+00:00,31065,83,55,False,
2024-01-04 10:00:00+00:00,31111,83,56,False,
2024-01-04 11:00:00+00:00,31029,84,56,False,
2024-01-04 12:00:00+00:00,31309,83,55,False,
2024-01-04 13:00:00+00:00,31388,83,55,False,
2024-01-04 14:00:00+00:00,30621,82,55,False,
2024-01-04 15:00:00+00:00,30340,80,53,False,
2024-01-04 16:00:00+00:00,30378,79,51,False,
2024-01-04 17:00:00+00:00,31370,77,49,False,
2024-01-04 18:00:00+00:00,31901,78,51,False,
2024-01-04 19:00:00+00:00,32312,77,50,False,
2024-01-04 20:00:00+00:00,32257,77,49,False,
2024-01-04 21:00:00+00:00,29855,78,48,False,
2024-01-04 22:00:00+00:00,27106,79,46,False,
2024-01-04 23:00:00+00:00,24830,79,44,False,
2024-01-05 00:00:00+00:00,22806,81,47,False,
2024-01-05 01:00:00+00:00,21437,81,47,False,
2024-01-05 02:00:00+00:00,20721,80,46,False,
2024-01-05 03:00:00+00:00,20364,81,48,False,
2024-01-05 04:00:00+00:00,20688,81,51,False,
2024-01-05 05:00:00+00:00,22285,82,54,False,
2024-01-05 06:00:00+00:00,25124,84,58,False,
2024-01-05 07:00:00+00:00,27582,86,62,False,
2024-01-05 08:00:00+00:00,29249,87,65,False,
2024-01-05 09:00:00+00:00,29907,89,68,False,
2024-01-05 10:00:00+00:00,29742,91,71,False,
2024-01-05 11:00:00+00:00,29715,92,73,False,
2024-01-05 12:00:00+00:00,29671,93,74,False,
2024-01-05 13:00:00+00:00,29594,92,74,False,
2024-01-05 14:00:00+00:00,28783,93,74,False,
2024-01-05 15:00:00+00:00,28308,92,73,False,
2024-01-05 16:00:00+00:00,28365,89,69,False,
2024-01-05 17:00:00+00:00,29256,88,67,False,
2024-01-05 18:00:00+00:00,29466,88,67,False,
2024-01-05 19:00:00+00:00,29686,87,67,False,
2024-01-05 20:00:00+00:00,29781,86,66,False,
2024-01-05 21:00:00+00:00,28018,87,66,False,
2024-01-05 22:00:00+00:00,26003,87,64,False,
2024-01-05 23:00:00+00:00,24325,87,63,False,
2024-01-06 00:00:00+00:00,22559,86,63,False,
2024-01-06 01:00:00+00:00,20935,87,62,False,
2024-01-06 02:00:00+00:00,19997,87,62,False,
2024-01-06 03:00:00+00:00,19601,87,62,False,
2024-01-06 04:00:00+00:00,19459,86,61,False,
2024-01-06 05:00:00+00:00,19696,86,61,False,
