datetime,powerProductionTotal_MW,isEstimated,estimationMethod,battery discharge_MW,biomass_MW,coal_MW,gas_MW,geothermal_MW,hydro discharge_MW,hydro_MW,nuclear_MW,oil_MW,solar_MW,unknown_MW,wind_MW
2024-01-01 00:00:00+00:00,21328,False,,,482,275,4331,0,391,2975,7096,20,28,74,5656
2024-01-01 01:00:00+00:00,20746,False,,,468,272,4326,0,75,2836,7096,20,28,72,5553
2024-01-01 02:00:00+00:00,20261,False,,,457,272,4477,0,-620,2607,7096,20,28,74,5230
2024-01-01 03:00:00+00:00,20068,False,,,465,272,4438,0,-1434,2443,7096,20,28,73,5233
2024-01-01 04:00:00+00:00,20024,False,,,460,272,4685,0,-1640,2223,7092,20,28,73,5171
2024-01-01 05:00:00+00:00,19969,False,,,460,272,4636,0,-1474,2163,7092,20,28,73,5225
2024-01-01 06:00:00+00:00,20413,False,,,460,272,4556,0,-1476,2532,7092,20,28,72,5381
2024-01-01 07:00:00+00:00,20607,False,,,455,272,4500,0,-1814,2548,7092,20,34,72,5614
2024-01-01 08:00:00+00:00,21794,False,,,460,272,4867,0,-2779,2505,7092,20,657,72,5849
2024-01-01 09:00:00+00:00,23379,False,,,453,272,3998,0,-3531,2218,7092,20,3458,70,5798
2024-01-01 10:00:00+00:00,25952,False,,,452,272,3279,0,-4197,2203,7092,20,6917,68,5649
2024-01-01 11:00:00+00:00,28082,False,,,450,271,3009,0,-4322,2003,7092,20,8880,70,6287
2024-01-01 12:00:00+00:00,28865,False,,,455,260,2860,0,-4542,1929,7092,20,9761,68,6420
2024-01-01 13:00:00+00:00,30285,False,,,450,260,3103,0,-4563,2197,7092,20,10342,68,6753
2024-01-01 14:00:00+00:00,31315,False,,,452,257,3137,0,-4488,2228,7092,20,10887,69,7173
2024-01-01 15:00:00+00:00,28933,False,,,452,252,3041,0,-4358,2138,7092,20,8508,72,7358
2024-01-01 16:00:00+00:00,25241,False,,,457,252,3954,0,-1984,2579,7092,20,3519,73,7295
2024-01-01 17:00:00+00:00,24260,False,,,473,252,3657,0,1091,3108,7091,34,418,76,8060
2024-01-01 18:00:00+00:00,25905,False,,,481,252,3163,0,2215,3572,7090,44,120,76,8892
2024-01-01 19:00:00+00:00,26584,False,,,477,252,2999,0,2381,3982,7088,44,87,74,9200
2024-01-01 20:00:00+00:00,26845,False,,,479,252,3217,0,2651,4107,7088,44,68,74,8865
2024-01-01 21:00:00+00:00,25558,False,,,474,252,2961,0,2185,3716,7088,44,60,75,8703
2024-01-01 22:00:00+00:00,23975,False,,,462,252,3121,0,1100,2719,7090,44,59,71,9057
2024-01-01 23:00:00+00:00,23099,False,,,458,252,3354,0,-1162,2185,7092,29,60,71,9598
2024-01-02 00:00:00+00:00,23348,False,,,461,252,3505,0,-3185,2121,7090,20,59,68,9772
2024-01-02 01:00:00+00:00,23463,False,,,472,252,3781,0,-4157,2033,7088,21,28,68,9720
2024-01-02 02:00:00+00:00,23188,False,,,484,252,3555,0,-4355,1932,7088,20,28,68,9761
2024-01-02 03:00:00+00:00,22856,False,,,481,252,3516,0,-4389,1953,7088,20,28,68,9450
2024-01-02 04:00:00+00:00,23013,False,,,481,258,3783,0,-4304,1985,7087,20,28,64,9307
2024-01-02 05:00:00+00:00,23958,False,,,493,272,3848,0,-3910,2011,7088,20,28,67,10131
2024-01-02 06:00:00+00:00,25331,False,,,492,272,4015,0,-1656,2483,7087,36,28,66,10852
2024-01-02 07:00:00+00:00,26008,False,,,491,272,3491,0,387,2756,7084,44,56,67,11360
2024-01-02 08:00:00+00:00,28260,False,,,495,285,3005,0,1323,3218,7086,44,1255,74,11475
2024-01-02 09:00:00+00:00,30697,False,,,485,292,2418,0,725,3159,7090,46,4772,77,11633
2024-01-02 10:00:00+00:00,32267,False,,,495,303,2467,0,243,3103,7092,44,6690,80,11750
2024-01-02 11:00:00+00:00,33230,False,,,510,304,2747,0,-41,2962,7091,48,7287,83,12198
2024-01-02 12:00:00+00:00,33778,False,,,508,329,2600,0,-295,2849,7088,44,7189,80,13091
2024-01-02 13:00:00+00:00,34436,False,,,511,312,2717,0,-345,2849,7088,44,6925,83,13907
2024-01-02 14:00:00+00:00,34651,False,,,508,312,2466,0,-574,2768,7088,45,6872,80,14512
2024-01-02 15:00:00+00:00,32969,False,,,491,312,2619,0,-339,2977,7088,44,4970,84,14384
2024-01-02 16:00:00+00:00,32666,False,,,499,312,3444,0,1084,3548,7086,44,2010,87,14552
2024-01-02 17:00:00+00:00,33433,False,,,507,312,3896,0,1594,4299,7088,44,241,87,15365
2024-01-02 18:00:00+00:00,33835,False,,,514,313,3665,0,1791,4434,7088,45,72,88,15825
2024-01-02 19:00:00+00:00,33121,False,,,509,320,3436,0,1321,4202,7088,44,52,87,16062
2024-01-02 20:00:00+00:00,33553,False,,,513,312,3605,0,1350,4396,7088,44,28,82,16135
2024-01-02 21:00:00+00:00,31429,False,,,506,307,3250,0,304,3829,7088,44,9,78,16014
2024-01-02 22:00:00+00:00,29202,False,,,485,301,2839,0,-1561,2949,7092,29,8,75,15424
2024-01-02 23:00:00+00:00,28301,False,,,481,306,2821,0,-3194,2745,7090,20,8,68,14762
2024-01-03 00:00:00+00:00,27551,False,,,492,300,2679,0,-3982,2324,7088,20,8,66,14574
2024-01-03 01:00:00+00:00,27013,False,,,495,295,2611,0,-4367,2208,7090,20,8,65,14221
2024-01-03 02:00:00+00:00,26385,False,,,481,293,2532,0,-4439,2004,7089,20,8,64,13894
2024-01-03 03:00:00+00:00,26227,False,,,483,297,2523,0,-4454,2027,7086,20,8,64,13719
2024-01-03 04:00:00+00:00,26095,False,,,477,304,2552,0,-4449,2110,7083,20,8,64,13477
2024-01-03 05:00:00+00:00,26726,False,,,476,322,2822,0,-3971,2376,7079,20,7,64,13560
2024-01-03 06:00:00+00:00,27326,False,,,487,316,3029,0,-1956,2757,7080,33,4,67,13553
2024-01-03 07:00:00+00:00,27684,False,,,501,312,2727,0,261,3183,7081,46,19,73,13481
2024-01-03 08:00:00+00:00,29722,False,,,508,327,2844,0,1012,3873,7076,48,762,77,13195
2024-01-03 09:00:00+00:00,31081,False,,,493,345,2568,0,1154,3700,7068,48,2820,74,12811
2024-01-03 10:00:00+00:00,31674,False,,,508,396,2335,0,822,3433,7067,42,4579,86,12406
2024-01-03 11:00:00+00:00,31345,False,,,510,413,2297,0,43,3127,7078,46,5697,91,12043
2024-01-03 12:00:00+00:00,31983,False,,,517,404,2540,0,-226,3528,7091,36,6185,93,11589
2024-01-03 13:00:00+00:00,32331,False,,,524,390,2898,0,471,3825,7090,43,5409,96,11585
2024-01-03 14:00:00+00:00,31881,False,,,520,373,3418,0,708,3849,7088,48,4628,98,11151
2024-01-03 15:00:00+00:00,30439,False,,,509,357,4461,0,625,3838,7088,46,3051,98,10366
2024-01-03 16:00:00+00:00,30021,False,,,523,341,5734,0,1280,4341,7088,49,1220,98,9347
2024-01-03 17:00:00+00:00,30585,False,,,526,352,6284,0,1823,5232,7088,47,117,100,9016
2024-01-03 18:00:00+00:00,31014,False,,,527,345,6362,0,1810,5840,7087,41,42,101,8859
2024-01-03 19:00:00+00:00,31371,False,,,532,333,6158,0,1883,6024,7088,40,26,97,9190
2024-01-03 20:00:00+00:00,31415,False,,,547,326,6169,0,1490,6136,7088,43,4,89,9523
2024-01-03 21:00:00+00:00,29828,False,,,559,303,5595,0,1077,5309,7088,44,4,84,9765
2024-01-03 22:00:00+00:00,27701,False,,,562,310,4886,0,996,4619,7090,44,4,79,9111
2024-01-03 23:00:00+00:00,25059,False,,,553,314,4164,0,473,3943,7092,41,4,78,8397
